1.768137929,2.242705116,1.374372698,1.924033712,1.940366628,0.751236739,0.751236739,1.40990868,0.778193325
1.76803121,2.243685259,1.375196768,1.923722229,1.939681632,0.792115084,0.792115084,1.410325218,0.778740795
1.769110911,2.244799322,1.376900495,1.924500104,1.939807416,0.834282164,0.834282164,1.412634716,0.780051029
1.771354976,2.246057171,1.379473768,1.926403015,1.940721617,0.877581412,0.877581412,1.416782357,0.78217271
1.774741346,2.24746867,1.382906475,1.929466641,1.94240187,0.921856078,0.921856078,1.422713329,0.785154532
1.779247923,2.249043685,1.387187619,1.933726662,1.94482581,0.966816055,0.966816055,1.430372788,0.789048203
1.784852351,2.25079208,1.392295333,1.939218755,1.947971213,1.011802636,1.011802636,1.43970565,0.793912969
1.791534923,2.252723721,1.398200598,1.945974198,1.951820058,1.056093541,1.056093541,1.450656769,0.799789357
1.799299875,2.254848472,1.404877704,1.954003134,1.956359189,1.098976952,1.098976952,1.463171866,0.806676879
1.80816361,2.257176198,1.412304584,1.963309376,1.961573091,1.139868554,1.139868554,1.477196409,0.814554445
1.818140699,2.259716765,1.420458576,1.973893998,1.967415683,1.178260457,1.178260457,1.492654095,0.823375151
1.829244809,2.262479847,1.429315743,1.985743676,1.973821165,1.213645796,1.213645796,1.509446111,0.833093758
1.841495124,2.265474356,1.438852335,1.998840368,1.980728973,1.245517706,1.245517706,1.527466946,0.84367055
1.854914003,2.268709013,1.449045452,2.013166624,1.988109682,1.273396069,1.273396069,1.546602932,0.855065036
1.869494622,2.272192541,1.459871893,2.028708436,1.995944697,1.297289465,1.297289465,1.566739759,0.86723543
1.885200497,2.275933661,1.471306443,2.045453028,2.004219429,1.317633754,1.317633754,1.587763098,0.880139893
1.901981559,2.279938311,1.483322086,2.063387411,2.01293079,1.334878632,1.334878632,1.609558389,0.893736732
1.919772473,2.284201296,1.495882219,2.082497228,2.02207771,1.349440765,1.349440765,1.632010407,0.907986247
1.938509577,2.288714637,1.508946637,2.102767591,2.031657076,1.361681859,1.361681859,1.655004448,0.922850344
1.958133279,2.293470356,1.522488298,2.124183902,2.041662597,1.371803433,1.371803433,1.67842854,0.938292437
1.978583613,2.298460474,1.536490074,2.146733593,2.052087891,1.379808433,1.379808433,1.702178463,0.954276777
1.999799202,2.303677776,1.550935101,2.17040496,2.062929789,1.385686914,1.385686914,1.726194175,0.970767265
2.021719062,2.309118105,1.565806474,2.195185294,2.074187904,1.389518351,1.389518351,1.75043254,0.987727641
2.044283564,2.314778066,1.581081239,2.221054128,2.08585975,1.391764145,1.391764145,1.774848312,1.005121762
2.067431989,2.320654267,1.59672504,2.247987396,2.097925473,1.392987695,1.392987695,1.799395122,1.022913513
2.091099582,2.326743312,1.612701882,2.275959622,2.110356934,1.393752398,1.393752398,1.824027591,1.041066686
2.115226295,2.333041919,1.628974618,2.304933517,2.123122983,1.394623792,1.394623792,1.84870105,1.059545106
2.139774041,2.339547248,1.645505943,2.334865836,2.136180634,1.39619019,1.39619019,1.873369015,1.078312851
2.164712658,2.346256571,1.662258892,2.365713624,2.149483949,1.399053664,1.399053664,1.897982989,1.097333777
2.1900245,2.353167159,1.679196588,2.397437093,2.16298854,1.403821395,1.403821395,1.922492972,1.116570831
2.21569537,2.360276283,1.696281962,2.429998192,2.17665327,1.411103387,1.411103387,1.946846886,1.135988113
2.241707352,2.367581202,1.71347739,2.463358215,2.190437329,1.42109662,1.42109662,1.971000709,1.155553194
2.268041474,2.37507913,1.73073734,2.497471456,2.204297482,1.433464978,1.433464978,1.994928154,1.175247932
2.294682773,2.382767267,1.748009068,2.532288042,2.218187691,1.447837378,1.447837378,2.018604539,1.19508235
2.321616934,2.390642815,1.765217162,2.567757823,2.232062238,1.463842736,1.463842736,2.042003021,1.215068634
2.348813113,2.398702974,1.78225635,2.60382806,2.24588094,1.481109966,1.481109966,2.065096407,1.235216851
2.376229241,2.406944888,1.799018035,2.640444343,2.259607182,1.499286868,1.499286868,2.087857828,1.255537269
2.403814222,2.41536546,1.815390944,2.677552347,2.273214692,1.518086965,1.518086965,2.110260635,1.2760407
2.431509841,2.423961538,1.831270406,2.715099181,2.286734723,1.537238089,1.537238089,2.132279034,1.296737829
2.459257675,2.432729966,1.84657614,2.753032964,2.300218525,1.556472587,1.556472587,2.153885186,1.317639175
2.48699961,2.441667592,1.861231596,2.791302069,2.313715939,1.575553062,1.575553062,2.175026659,1.338755469
2.514688886,2.450771509,1.875150593,2.829858362,2.327272686,1.594254527,1.594254527,2.195636,1.360097593
2.542292929,2.460039806,1.888255401,2.868656347,2.340933768,1.612352036,1.612352036,2.215635676,1.381675696
2.56978375,2.469470819,1.900593992,2.907650569,2.354745046,1.629620639,1.629620639,2.234941103,1.40349822
2.597139103,2.479062885,1.912289039,2.946795105,2.368753712,1.645835389,1.645835389,2.253500294,1.425561249
2.624336364,2.48881434,1.923457219,2.986043655,2.383007008,1.660773057,1.660773057,2.271299363,1.447853491
2.651351224,2.498722484,1.934208534,3.025349925,2.397551011,1.6742768,1.6742768,2.28835119,1.470364028
2.678159628,2.508780471,1.944649168,3.064667986,2.412430787,1.686276507,1.686276507,2.304708379,1.493082153
2.704738613,2.518980418,1.954879998,3.103952237,2.427691953,1.696795348,1.696795348,2.320424282,1.515997017
2.731064521,2.52931444,1.965001834,3.143157039,2.443384742,1.706021589,1.706021589,2.335545737,1.539097743
2.757111,2.539774656,1.975116364,3.182235781,2.459561588,1.714137206,1.714137206,2.350115406,1.562373592
2.782854423,2.550352798,1.985325954,3.22114091,2.4762784,1.721301919,1.721301919,2.364165148,1.585813766
2.808284153,2.561039062,1.995735173,3.259825105,2.493604926,1.727674665,1.727674665,2.377720603,1.609407062
2.833394802,2.571823261,2.00645272,3.298247609,2.511614353,1.73341438,1.73341438,2.390788073,1.633142634
2.858191271,2.582695205,2.017611627,3.336374501,2.530377021,1.738680003,1.738680003,2.403368543,1.657011101
2.88268142,2.593644708,2.029354045,3.374172241,2.549957291,1.743602327,1.743602327,2.415466824,1.681000175
2.906870881,2.604661724,2.041809676,3.411609141,2.570419081,1.748119694,1.748119694,2.427089264,1.70508942
